predicted_utilization,dynamic_tariff,baseline_tariff,revenue_dynamic,revenue_baseline,simulated_utilization
0.5,15.3,15.0,53.550000000000004,52.5,0.5
1.0,22.5,15.0,6413.43750075,4275.6250005,0.85
1.0,22.5,15.0,4633.68750075,3089.1250005,0.85
0.1999999999999996,10.5,15.0,18.375,26.25,0.2399999999999995
1.0,22.5,15.0,275.625,183.75,0.85
1.0,22.5,15.0,1017.187499925,678.1249999500001,0.85
1.0,22.5,15.0,111.5624999925,74.374999995,0.85
1.0,22.5,15.0,26.250000007500002,17.500000005,0.85
1.0,22.5,15.0,214.1124999975,142.74166666500003,0.85
0.8180897435897438,22.5,15.0,2250.0,1500.0,0.6953762820512822
0.9991666666666668,22.5,15.0,105.0000000075,70.000000005,0.8492916666666668
1.0,22.5,15.0,1995.000000075,1330.00000005,0.85
